景区名称,级别,地区,热度,简介,价格,月销量,城市,图片
北京环球度假区,无,[北京·北京·通州区],0.0,大片世界，在此成真,493,28973,北京,https://imgs.qunarzz.com/sight/p0/2301/2b/2b1330228fd3ae11a3.water.jpg_280x200_843bc675.jpg
故宫博物院,5A景区,[北京·北京·东城区],1.0,穿越明清两朝的皇家宫殿群,40,19132,北京,https://imgs.qunarzz.com/sight/p0/1409/19/adca619faaab0898245dc4ec482b5722.jpg_280x200_444f23e4.jpg
八达岭长城,5A景区,[北京·北京·延庆县],0.82,不到长城非好汉,34.9,12960,北京,https://imgs.qunarzz.com/sight/p0/2005/39/3979f1867defec4ea3.water.jpg_280x200_e1b47993.jpg
颐和园,5A景区,[北京·北京·海淀区],0.82,走入清朝皇帝的皇家园林,20,9462,北京,https://img2.baidu.com/it/u=4118596544,3621881290&fm=253&fmt=auto&app=138&f=JPEG?w=750&h=500
天坛公园,5A景区,[北京·北京·东城区],0.8,明清时期皇帝祭天的地方,10,8851,北京,https://imgs.qunarzz.com/sight/p0/1602/92/920e47352552c1c990.water.jpg_280x200_cf5666bb.jpg
恭王府,5A景区,[北京·北京·西城区],0.74,旧时清朝大臣和珅的府邸,40,6668,北京,https://imgs.qunarzz.com/sight/p0/201405/12/51b63883c25f5d87af3c08bb016e2bd7.jpg_280x200_48280119.jpg
圆明园,5A景区,[北京·北京·海淀区],0.76,毁于战火的清代皇家园林,10,5908,北京,https://imgs.qunarzz.com/sight/p0/1505/f5/f5f45e1a83537bcb.water.jpg_280x200_b5ebb032.jpg
北京野生动物园,4A景区,[北京·北京·大兴区],0.7,近距离观赏野生动物,145,4577,北京,https://imgs.qunarzz.com/sight/p0/1507/cc/19733fc0135062788140cbb48ae606a7.water.jpg_280x200_bf5cac27.jpg
北京动物园,4A景区,[北京·北京·西城区],0.72,观赏众多的珍稀动物,10,3992,北京,https://imgs.qunarzz.com/sight/p0/201308/08/41150dacc0e3a0c8c8d65eac.jpg_280x200_707e4dbd.jpg
中国国家博物馆,无,[北京·北京·东城区],0.7,穿越千年看中华珍宝,138,5167,北京,https://imgs.qunarzz.com/wugc/p153/201204/20/18790ec397b2afe193835fbb.jpg_280x200_f861f1aa.jpg
北京海洋馆,4A景区,[北京·北京·西城区],0.7,观赏上千种水族动物,158,2681,北京,https://imgs.qunarzz.com/sight/p0/1602/68/68aa05adb5315f9990.water.jpg_280x200_474b3a15.jpg
明十三陵,5A景区,[北京·北京·昌平区],0.72,埋葬十三位明朝皇帝的陵园,20,1934,北京,https://imgs.qunarzz.com/sight/p0/201405/12/4252d24d5d40b4b55e9d6df7d95e9838.jpg_280x200_292e38b9.jpg
慕田峪长城,5A景区,[北京·北京·怀柔区],0.7,看万里长城山河壮丽,58,1498,北京,https://imgs.qunarzz.com/sight/p0/2005/5b/5b413402d60a1e26a3.water.jpg_280x200_00f4c79e.jpg
北海公园,4A景区,[北京·北京·西城区],0.76,白塔湖水相依的皇家园林,5,1284,北京,https://imgs.qunarzz.com/sight/p0/1507/d2/971ee817d45301a6bb86295899b5e332.water.jpg_280x200_55629ff0.jpg
八达岭长城缆车,5A景区,[北京·北京·八达岭长城],0.0,不到长城非好汉,135,632,北京,https://imgs.qunarzz.com/sight/p0/201306/13/bdf22f69fab0ee4ec8d65eac.jpg_280x200_c2f4c17c.jpg
景山公园,4A景区,[北京·北京·西城区],0.74,明朝崇祯皇帝自缢的地方,11.9,1074,北京,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0100j1200046x94ebB936.jpg_280x200_146894fe.jpg
八大处公园,4A景区,[北京·北京·石景山区],0.72,三山八刹十二景,10,960,北京,https://imgs.qunarzz.com/sight/p0/1603/c7/c7788086a209ce3590.water.jpg_280x200_c5c4bed2.jpg
古北水镇,无,[北京·北京·密云县],0.0,在长城脚下泡温泉爬长城,140,2669,北京,https://imgs.qunarzz.com/sight/p0/2005/4a/4a2a2afc7a3ca8a6a3.water.jpg_280x200_af20f0cd.jpg
北京世园公园,4A景区,[北京·北京·延庆县],0.0,赏万千植物花卉,20,670,北京,https://imgs.qunarzz.com/sight/p0/2001/28/2811b59bfeacbaa4a3.img.jpg_280x200_ee8c6414.jpg
莲花山滑雪场,无,[北京·北京·顺义区],0.7,绿色生态的建造理念,588,87,北京,https://imgs.qunarzz.com/sight/p0/1501/c9/c936199619206dd1.water.jpg_280x200_d795c2c0.jpg
北京天文馆,4A景区,[北京·北京·海淀区],0.72,中国第一座天文馆,40,912,北京,https://imgs.qunarzz.com/sight/p0/1501/d0/d00d72664c3e73d8.water.jpg_280x200_f8d4d451.jpg
雍和宫,无,[北京·北京·东城区],0.76,生活过雍正与乾隆两位皇帝,35.8,2721,北京,https://imgs.qunarzz.com/sight/p0/1501/e5/e5621c1bb593240c.water.jpg_280x200_597628ae.jpg
香江动感天地冰雪嘉年华,无,[北京·北京·朝阳区],0.0,休闲娱乐两不误的不二选择,98,34,北京,https://imgs.qunarzz.com/sight/p0/1812/a8/a8aebe95a30d5e8ea3.img.jpg_280x200_553a250b.jpg
北京欢乐谷,4A景区,[北京·北京·朝阳区],0.72,玩耍众多刺激的游乐项目,299,1096,北京,https://imgs.qunarzz.com/sight/p0/2210/42/42f3c30e1977bf3fa3.water.jpg_280x200_f35cccb2.jpg
石景山游乐园,4A景区,[北京·北京·石景山区],0.7,有众多娱乐项目可以玩耍,10,642,北京,https://imgs.qunarzz.com/wugc/p59/201204/20/057ff87be57d4a2293835fbb.jpg_280x200_1b3d3be2.jpg
北京汽车博物馆,4A景区,[北京·北京·丰台区],0.0,参观众多古老汽车原型,25,474,北京,https://imgs.qunarzz.com/sight/p0/1507/59/76e0dc86d4416f913d9d919ec79ffe0e.water.jpg_280x200_b06b1760.jpg
北京世界公园,4A景区,[北京·北京·丰台区],0.7,汇集各国知名建筑的微缩版,49.9,550,北京,https://imgs.qunarzz.com/sight/p0/2106/71/71ff816fb7041006a3.img.jpg_280x200_80c2b783.jpg
潭柘寺,4A景区,[北京·北京·门头沟区],0.7,千年古刹、珍稀古木,50,806,北京,https://imgs.qunarzz.com/sight/p0/1603/93/93f7893af5d5b7ac90.water.jpg_280x200_20c06154.jpg
